"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","project"
"40542","433","Ring","","Liverpool Museum, 4543","Hungary,Locality unknown","Hungary","19.5033","47.1625","","None","None","None","","62 x 61","","113.39","Grey green","Rough","11 12 x 10 11","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18607202695","https://farm9.staticflickr.com/8876/18607202695_47853a0442_m.jpg","superuser","ForeignJewelery"
"40543","433","Ring","","Liverpool Museum, 4545","Hungary,Locality unknown","Hungary","19.5033","47.1625","","None","None","None","","44.5 x 43 (inner diameters)","","","dark green","","6.7 x 7","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18607182225","https://farm9.staticflickr.com/8868/18607182225_332e3623ce_m.jpg","superuser","ForeignJewelery"
"40544","433","Ring","","Liverpool Museum, 4546","Hungary,Locality unknown","Hungary","19.5033","47.1625","","None","None","None","51","","","24.8","Very dark green","Rough","5 x 6","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18580782046","https://farm1.staticflickr.com/546/18580782046_30d2813edb_m.jpg","superuser","ForeignJewelery"
"40545","433","Torque (or a handle)","","Vize Collection, No. 2720,Sotheby's No. 139/3","Hungary,Josclowitz","Hungary","19.5033","47.1625","","None","None","None","139","114","","209.07","Dull emerald green patina","Slightly pocked + a slight light green corrosion","7.5 x 8; 13.5 x 11; 8 x 8","","","","This appears to have been hammered into shape.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18419390728","https://farm1.staticflickr.com/480/18419390728_d67a4d9a46_m.jpg","superuser","ForeignJewelery"
"40546","433","Torque","","Liverpool Museum, 4532M","Hungary,Locality unknown","Hungary","19.5033","47.1625","","None","None","None","","184 x 175","","205.52","Light green patina","","6","","","","Good preservation. Average number of coils per inch 12.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18602582352","https://farm1.staticflickr.com/439/18602582352_0f2d6c98aa_m.jpg","superuser","ForeignJewelery"
"40547","433","Torque","","Liverpool Museum, 4533 M","Hungary,Locality unknown","Hungary","19.5033","47.1625","","None","None","None","","185 x 184","","113.39","Fine grey green","Very smooth","6","","","","Perfect preservation.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18609231841","https://farm1.staticflickr.com/487/18609231841_6f47b5fcba_m.jpg","superuser","ForeignJewelery"
"40548","433","Torque","","Liverpool Museum, 4532","Hungary,Locality unknown","Hungary","19.5033","47.1625","","None","None","None","","286 x 254","","233.88","Light green patina","","5.5, 5.25","","","","Good preservation.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18420884509","https://farm9.staticflickr.com/8878/18420884509_cd0d4eac0c_m.jpg","superuser","ForeignJewelery"
"40549","433","Bangle","","Vize Collection, No. 3121,Sotheby's No. 139/3","Italy,Tuscan Trazemino,Trazimeno","Lago Trasimeno, Province of Perugia, Italy","12.0947","43.1296","","None","None","None","97","77","","169","Dark emerald green patina.","Smooth. Bright green corrosion + slight rust.","36.5; 39.5 (thickest part)","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18419351680","https://farm9.staticflickr.com/8882/18419351680_6c62ab3ab4_m.jpg","superuser","ForeignJewelery"
"40550","433","Bangle","","Vize Collection No. 542,Sotheby's No. 140/6","Italy,Tuscany,Chuisi","53043 Chiusi SI, Italy","11.9448","43.0155","","None","None","None","81.5","81","","65.55","Darkish green patina","Smooth. Slightly corroded all over.","6.5 x 7","","","","Ornamented with double lines on 2 edges.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18419325450","https://farm1.staticflickr.com/549/18419325450_e89f1e22c1_m.jpg","superuser","ForeignJewelery"
"40551","433","Bracelet","","Vize Collection 366,Sotheby's No. 140/6","Italy,Tuscany,Chiusi","53043 Chiusi SI, Italy","11.9448","43.0155","","None","None","None","44","44","","35.43","Dark green patina rather chipped.","Smooth","Thickness of 2 + 3 coils 9.5 + 12.5; Thickest part of coil 4.75","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18606971315","https://farm9.staticflickr.com/8859/18606971315_f64dc7b59f_m.jpg","superuser","ForeignJewelery"
