"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","project"
"59144","580","Socketed Spearhead","","","Aylsham,Norfolk","Aylsham, Norwich, Norfolk, Royaume-Uni","1.2524","52.7967","","None","None","None","","","","","","","","","","Aylsham Hoard, No. 1","","","JW - Unidentified cards from BA Index drawer A20.","Denis Antoine","https://www.flickr.com/photos/115096994@N02/24444228183","https://farm2.staticflickr.com/1489/24444228183_0695301413_m.jpg","superuser","BitsandBobsPt2"
"59145","580","Blade/Rapier Frag.?","","","Aylsham,Norfolk","Aylsham, Norwich, Norfolk, Royaume-Uni","1.2524","52.7967","","None","None","None","","","","","","","","","","Aylsham Hoard No. 19","Blade fragment.","","JW - Unidentified cards from BA Index drawer A20.","Denis Antoine","https://www.flickr.com/photos/115096994@N02/24952970642","https://farm2.staticflickr.com/1568/24952970642_33e05fe9c7_m.jpg","superuser","BitsandBobsPt2"
"59146","580","Socketed Axe","","","Aylsham,Norfolk","Aylsham, Norwich, Norfolk, Royaume-Uni","1.2524","52.7967","","None","None","None","","","","","","","","","","Aylsham Hoard, No. 7","Flanged/Socketed Axe.","","JW - Unidentified cards from BA Index drawer A20.","Denis Antoine","https://www.flickr.com/photos/115096994@N02/24703455189","https://farm2.staticflickr.com/1451/24703455189_e726e737e7_m.jpg","superuser","BitsandBobsPt2"
"59147","580","Socketed Axe Frag.","","","Aylsham,Norfolk","Aylsham, Norwich, Norfolk, Royaume-Uni","1.2524","52.7967","","None","None","None","","","","","","","","","","Aylsham Hoard, No. 11","Axe fragment.","","JW - Unidentified cards from BA Index drawer A20.","Denis Antoine","https://www.flickr.com/photos/115096994@N02/24703455019","https://farm2.staticflickr.com/1523/24703455019_5861fe8ef9_m.jpg","superuser","BitsandBobsPt2"
"59148","580","Socketed Axe Frag.","","","Aylsham,Norfolk","Aylsham, Norwich, Norfolk, Royaume-Uni","1.2524","52.7967","","None","None","None","","","","","","","","","","Aylsham Hoard, No. 13","Blade tip only.","","JW - Unidentified cards from BA Index drawer A20.","Denis Antoine","https://www.flickr.com/photos/115096994@N02/25071099295","https://farm2.staticflickr.com/1523/25071099295_4d35fb99bb_m.jpg","superuser","BitsandBobsPt2"
"59149","580","Sword/Rapier Blade Frag.","","","Aylsham,Norfolk","Aylsham, Norwich, Norfolk, Royaume-Uni","1.2524","52.7967","","None","None","None","","","","","","","","","","Aylsham Hoard, No. 18","Blade fragment.","","JW - Unidentified cards from BA Index drawer A20.","Denis Antoine","https://www.flickr.com/photos/115096994@N02/24977783691","https://farm2.staticflickr.com/1470/24977783691_4ed8106fef_m.jpg","superuser","BitsandBobsPt2"
"59150","580","Palstave or Chisel?","","","Beachamwell,Breckland,Norfolk","Beachamwell, Swaffham, Norfolk PE37, Royaume-Uni","0.5878","52.6184","","None","None","None","","","","","","","","","","","","","JW - Unidentified cards from BA Index drawer A20.","Denis Antoine","https://www.flickr.com/photos/115096994@N02/25071099045","https://farm2.staticflickr.com/1693/25071099045_4da7df5abf_m.jpg","superuser","BitsandBobsPt2"
"59151","580","Bronze Debris?","","","Buxton Common,Buxton,Norfolk,Found in an urn in a barrow, 1798","Buxton, Norwich, Norfolk, Royaume-Uni","1.3087","52.755","","None","None","1798","","","","","","","","","","","Unidentified bronze debris?","",",","Denis Antoine","https://www.flickr.com/photos/115096994@N02/24703454529","https://farm2.staticflickr.com/1461/24703454529_d4172fbfe1_m.jpg","superuser","BitsandBobsPt2"
"59152","580","Socketed Axe","","","Gorleston on Sea,Norfolk","Gorleston-on-Sea, Great Yarmouth, Gorleston-on-Sea, Great Yarmouth, Norfolk NR31, Royaume-Uni","1.7275","52.5783","","None","None","None","","","","","","","","","","","","","JW - Unidentified cards from BA index drawer A20.","Denis Antoine","https://www.flickr.com/photos/115096994@N02/24977783381","https://farm2.staticflickr.com/1697/24977783381_4bd8542853_m.jpg","superuser","BitsandBobsPt2"
"59153","580","Socketed Axe","","","Gorleston on Sea,Norfolk","Gorleston-on-Sea, Great Yarmouth, Gorleston-on-Sea, Great Yarmouth, Norfolk NR31, Royaume-Uni","1.7275","52.5783","","None","None","None","","","","","","","","","","","","","JW - Unidentified cards from BA index drawer A20.","Denis Antoine","https://www.flickr.com/photos/115096994@N02/25044754846","https://farm2.staticflickr.com/1674/25044754846_563b650a2b_m.jpg","superuser","BitsandBobsPt2"
"59154","580","Socketed Axe","","","Gorleston on Sea,Norfolk","Gorleston-on-Sea, Great Yarmouth, Gorleston-on-Sea, Great Yarmouth, Norfolk NR31, Royaume-Uni","1.7275","52.5783","","None","None","None","","","","","","","","","","","","","JW - Unidentified cards from BA index drawer A20.","Denis Antoine","https://www.flickr.com/photos/115096994@N02/24775489380","https://farm2.staticflickr.com/1647/24775489380_cd4de21d57_m.jpg","superuser","BitsandBobsPt2"
"59155","580","Blade Tip","","","Gorleston on Sea,Norfolk","Gorleston-on-Sea, Great Yarmouth, Gorleston-on-Sea, Great Yarmouth, Norfolk NR31, Royaume-Uni","1.7275","52.5783","","None","None","None","","","","","","","","","","","Fragment of Spearhead blade?","","JW - Unidentified cards from BA index drawer A20.","Denis Antoine","https://www.flickr.com/photos/115096994@N02/25071098365","https://farm2.staticflickr.com/1481/25071098365_54ce8bb1aa_m.jpg","superuser","BitsandBobsPt2"
"59156","580","Socketed Spearhead Frag.","","","Gorleston on Sea,Norfolk","Gorleston-on-Sea, Great Yarmouth, Gorleston-on-Sea, Great Yarmouth, Norfolk NR31, Royaume-Uni","1.7275","52.5783","","None","None","None","","","","","","","","","","","Socket & lower blade frag.","","JW - Unidentified cards from BA index drawer A20.","Denis Antoine","https://www.flickr.com/photos/115096994@N02/24775489170","https://farm2.staticflickr.com/1560/24775489170_9b91ee9ca2_m.jpg","superuser","BitsandBobsPt2"
