"id","old_findID","fromdate","todate","fourFigureLat","fourFigureLon"
585755,"NLM-24F154",-1000,-800,53.42914205,-0.19537552
585744,"NLM-24D2A3",-2300,-1600,53.42914205,-0.19537552
585741,"NLM-24C797",-2300,-800,53.42914205,-0.19537552
585737,"NLM-24BD35",-2300,-1600,53.42914205,-0.19537552
585728,"NLM-24A428",-2300,-1600,53.42914205,-0.19537552
585726,"NLM-249583",-2300,-1600,53.42914205,-0.19537552
585713,"NLM-245E08",-1000,-800,53.43766756,-0.16490378
585598,"BERK-227481",-1400,-1140,51.55347551,-1.42447023
585570,"YORYM-21A177",-2200,-1000,54.12133043,-0.19603616
585524,"LIN-20DF37",-2350,-1500,53.3256728,0.08556033
585019,"NMS-CF0A11",-1000,-701,52.54162395,1.00684769
584985,"BERK-CE3138",-1150,800,51.57965183,-1.27982445
584925,"SUR-CC3000",-1300,-1150,51.56059031,-1.12144379
584875,"CORN-BBA3C1",-1100,-800,50.77425937,-3.30613864
584460,"LEIC-946FB1",,,52.73723907,-0.97949092
584264,"SUR-8CE3D1",-1500,-1000,51.35301611,-1.02489573
584261,"HAMP-8CCCA4",-2350,-1700,51.10173931,-1.08732003
584231,"WAW-80FB93",-1150,410,52.27379194,-1.70830692
584168,"CORN-7CC998",-1400,-1300,50.37150386,-4.74357011
584061,"CORN-7ACDD7",-2200,-2000,50.34651218,-4.65778576
584039,"NMS-798AE5",-1000,-701,52.75954053,0.53269139
583972,"NMS-769173",-1000,-701,52.9032302,0.54106671
583849,"SUR-3B2641",-1200,-750,51.42540377,-1.08088868
583703,"CORN-28E916",-1300,-800,50.31512985,-5.18987339
583216,"NCL-04C9A1",-1500,-800,53.18397504,-0.04105561
583214,"NCL-049955",-1500,-800,53.18397504,-0.04105561
583168,"SUR-FE4CA5",-1500,-500,51.46190762,-1.15212847
582682,"NMS-A329A3",-1700,-1001,52.54563045,0.84486011
582399,"YORYM-7E2440",-1000,-800,53.95866026,-0.85845812
581533,"WILT-FBD123",-2500,-1500,51.35671569,-2.2886105
581401,"SUR-E969D2",-1500,-600,51.24869909,-0.51128712
581284,"WMID-E6E666",-950,-700,52.71388753,-1.57215777
581271,"NMS-E6A394",-1000,-700,52.64372579,0.48164437
580939,"NMS-D00174",-1600,-701,52.48765857,1.34201063
580910,"LIN-C0F980",-1500,-700,52.76752763,1.30411114
579785,"NLM-4098B1",-1000,-800,53.61465305,-0.62588526
579374,"NCL-28A975",-1000,-700,54.25074849,-1.52572405
579091,"NMS-D87D64",-2300,-1700,52.70685759,1.53643955
579005,"WILT-D576F5",-1500,-700,51.27507808,-1.49963303
578917,"DEV-C299D4",-2500,-1500,50.89843954,-3.45181659
578880,"YORYM-C14FC5",-2150,-1500,54.0496186,-0.97816034
578814,"WILT-BF1C15",-1600,-1000,51.70773378,-1.97245555
578800,"WILT-BE84C2",-1100,1500,51.16817074,-2.13010296
578783,"YORYM-BDE2E4",-1400,-1200,54.08079308,-0.5188166
578781,"YORYM-BDD143",-1400,-1250,54.08079308,-0.5188166
578374,"DUR-95A965",-1500,-1200,54.15854457,-1.11330628
578372,"YORYM-958D05",-1000,-800,53.86459167,-0.48084197
578366,"LON-9540B5",-1140,-1020,51.47965869,-0.30216595
578359,"WMID-94FA83",-2350,-2050,53.05595408,-1.73289657
578179,"CAM-583B44",-1500,-750,52.56382561,-0.05405059
576827,"NMS-82E6D4",-2350,-701,52.62482744,0.52490383
576669,"CORN-70CDC7",-2100,-1500,53.82696486,-1.25705583
576312,"GLO-1E0845",-1700,-1100,51.42669945,-2.73493165
576124,"NMS-090A12",-3000,-701,52.75039921,1.27317066
576026,"NLM-061746",-1600,-1100,53.27969638,0.14332233
574882,"WMID-DDE216",-2500,-1500,52.41681701,-1.47211466
574857,"SUSS-DCE1E7",-2150,-800,50.896435,-0.394565
574612,"SUR-A10290",-1400,-1250,51.9273384,-0.89615656
574191,"NLM-5DE752",-700,-600,53.564578,-0.234915
574042,"SUR-4C64B1",-2100,-1500,51.164247,-0.256562
573866,"NMS-477E93",-2350,-700,52.588271,0.55233
573861,"NMS-475C25",-1000,-701,52.65177,0.526456
573660,"WMID-32C4E1",-1150,-800,52.858249,-2.239072
573012,"NMS-B7FBC7",-1000,-800,52.661065,0.512204
572824,"YORYM-A33532",-2300,-1600,54.148595,-0.991036
572545,"SUR-7898C5",-1150,-650,51.22227063,-0.5551007
572499,"SUR-741553",-1500,-500,52.13062578,-0.56973057
572427,"NMGW-4FCA62",-2050,-1850,51.989523,-4.783149
572343,"NMGW-4D8933",-950,-750,51.77751,-2.71163
572196,"ESS-36F125",-1900,-1700,51.82822309,1.11874264
571695,"SUR-DFA787",-1150,-600,51.301311,-0.409171
571556,"NMGW-BA6184",-950,-750,51.74662995,-4.3770124
571465,"SUR-A9ACF3",-1500,-600,51.147723,-1.229379
571176,"YORYM-8ED426",-1000,-750,53.84719,-0.527076
570863,"GLO-6535E4",-1300,-1000,51.40922686,-2.64838433
570749,"NCL-50DD11",-2350,-1601,54.600827,-1.428792
570342,"WMID-FE8C24",-1500,-1150,52.917852,-4.262176
570317,"SUR-FDEAB5",-1500,-700,51.156619,-1.214932
570173,"NMS-EB8733",-4000,42,52.535221,0.903176
570008,"YORYM-D3EFF5",-1700,-1500,54.165478,-0.86809
569747,"WAW-83E1E3",-1600,-400,52.057628,-1.578452
569504,"YORYM-5574F6",-1200,-800,54.165621,-0.883403
569484,"YORYM-54EB72",-1000,-800,54.165478,-0.86809
569316,"NMS-407D98",-1600,-701,52.678508,0.92747
568874,"WAW-FC1522",-1250,-800,52.057628,-1.578452
568787,"NMS-EB0E02",-2350,-701,52.625763,0.480628
568664,"NCL-D66994",-2100,-1900,55.060418,-1.87629
568659,"BH-D64995",-1000,-800,51.680145,-0.497181
568353,"WILT-BEF273",-1400,-1250,51.230867,-2.2735
567328,"SUR-FE1092",-1500,-700,51.29346,-0.495498
566940,"NMS-B238F7",-1400,-1200,52.834358,0.804307
566830,"NMS-AF11B1",-1600,-1001,52.912528,0.526737
566541,"DEV-987893",-2150,-1500,50.661273,-3.699172
566536,"YORYM-980C73",-1100,-800,54.512189,-1.831612
566320,"LIN-84A3C5",-2150,-1500,53.169484,-0.266134
565959,"NMS-418C66",-2350,-1501,52.904407,0.883194
565914,"WAW-320995",-2150,-800,51.814764,-2.4511
565214,"LIN-02B808",-1500,-1000,53.298714,-0.516003
565100,"LEIC-F0A3B8",-1600,-1001,52.59640132,-1.42567007
564356,"DEV-76F361",-1600,-1500,50.402361,-3.563247
564315,"NMS-7473F3",-2300,-1700,52.612883,1.366322
564213,"KENT-71B9F7",,,51.380898,0.657038
564107,"NMS-5FFDF1",-2300,-1700,52.912528,0.526737
563825,"NMS-1FB7C5",-1000,-701,52.712382,0.633602
563109,"NMS-DDC067",-1000,-700,52.660117,0.556515
562997,"WMID-CAEA06",-1500,-1150,52.311245,-0.637262
562892,"WAW-BA7221",-1700,-1500,52.1929072,-2.27937017
561581,"CORN-CDBF61",-1150,-700,50.075799,-5.677208
561098,"NLM-B6FC57",-2100,-1500,53.532893,-0.553093
561023,"NLM-B50DA5",-2100,-800,53.523907,-0.553399
561022,"NLM-B50181",-2100,-1500,53.523907,-0.553399
561020,"NLM-B4F601",-2100,-1500,53.523907,-0.553399
560976,"SUR-B41DB6",-1400,-1150,51.293088,-0.466825
560766,"LON-9F2F64",-2500,-1150,51.61426,-0.282704
560603,"WAW-5E5FB8",-2000,-1600,51.435599,-2.749461
560601,"WAW-5E4475",-1150,-800,52.31899481,-1.84004577
560220,"WILT-366F33",-1500,-700,51.105214,-1.858547
560155,"NMS-355281",-2350,-1501,52.838075,1.354023
559831,"LON-10AC83",-2500,-700,51.632653,-0.310909
559791,"NMS-0EDA14",-2350,-1500,52.643416,0.496409
559457,"NMS-BADDA1",-2350,-1001,52.497109,0.989073
559447,"NMS-BAA821",-1600,-1001,52.497109,0.989073
559418,"NMS-B9B467",-2350,-701,52.497109,0.989073
559081,"NLM-90ECB7",-2150,-1500,53.558128,-0.416356
558553,"WMID-277BF6",-1500,-1150,52.903393,-1.897374
558368,"NMS-228715",-1000,-701,52.813425,0.535824
557519,"WILT-9543A0",-1100,1500,51.123282,-2.015667
557515,"WILT-950DB6",-1100,-700,51.0873,-2.058488
557502,"NMS-9427A3",-1000,-700,52.935467,1.078748
557432,"WMID-91BDA3",-1500,-1150,53.164097,-2.076241
556817,"NMS-5682B5",-1000,-800,52.614894,0.568651
556183,"SUR-FFD972",-1500,-100,51.614199,-1.077081
555978,"NMS-ECA390",-2350,-1000,52.624827,0.524904
555911,"WMID-EB5248",-1300,-800,52.777508,-2.134859
555459,"WMID-C1E995",-1100,-800,52.59756,-1.765217
555311,"SUR-A94D74",-1150,-600,52.417863,-0.531046
554893,"NMGW-6A0686",-2050,-1700,51.491714,-3.470589
554709,"SUSS-5637C2",-1000,-800,50.901624,-0.13839
553961,"NCL-EE5C57",-2500,-1500,55.284766,-1.702411
553928,"DEV-ED41D1",-1000,-800,50.64839446,-3.30264451
553422,"GLO-C3C0A1",-2500,-1800,51.616965,-2.449135
553083,"FAKL-975F43",-2500,-1500,53.568835,-0.551866
552955,"NMS-71AEB4",-1000,-701,52.527628,1.197584
552761,"SUR-45BB83",-1000,1700,51.452706,-1.123516
552605,"SWYOR-320717",-2150,-800,53.845032,-1.271935
552456,"NMS-1E4DA1",-1000,-701,52.750807,1.25838
552353,"NLM-1A50A1",-1150,-800,53.64161,-0.625009
552349,"NLM-1A38C2",-1300,-1150,53.64161,-0.625009
552249,"LIN-177172",-1500,-700,53.027797,-0.420939
552111,"LANCUM-0788A0",-1000,-800,54.09625643,-2.79660665
552042,"DUR-065531",-2200,-1900,54.512304,-2.016957
552003,"SWYOR-055906",-2500,-1500,53.601688,-1.170343
552001,"SWYOR-054D54",-2500,-1500,53.601688,-1.170343
551997,"SWYOR-053D07",-2500,-1500,53.601688,-1.170343
551729,"SUR-DB8632",-1400,-800,52.004406,-1.914005
551519,"NMS-B35CF5",-1000,-701,52.52588,0.917304
551409,"NARC-B20E51",-1500,-1150,52.178171,-0.802209
551176,"NMS-9F6FE5",-1000,-701,52.722662,0.574982
550944,"SUR-8A4D82",-1150,-600,51.366022,-1.900839
550553,"NMS-477697",-1000,-701,52.463032,0.913145
550017,"NMS-06E105",-1000,-701,52.789114,0.816228
549959,"LON-055444",-1000,-800,51.46960743,-0.23054883
549289,"NMS-A10E82",-2300,-1700,52.612883,1.366322
548991,"DEV-892904",-2150,-1500,50.732849,-2.936564
548604,"NCL-71EF23",-1500,-800,55.221697,-1.640005
548390,"LIN-5DB976",-1500,-700,53.359022,-0.318558
547861,"DUR-06F0E8",,,54.717066,-2.684546
547728,"NMS-F56815",-2350,-701,52.696463,0.928672
547455,"BERK-E133A6",,,51.571662,-1.467528
547408,"NMS-DEBFA3",-2100,-800,52.731963,0.560718
547315,"LIN-CE0C01",-1500,-800,53.074433,-0.553581
546908,"LIN-B6B1C3",-1500,-700,53.092039,-0.523123
546750,"NLM-B30898",-2150,-1500,53.623639,-0.625593
546190,"BERK-602025",,,51.571726,-1.481956
545955,"SUR-4B0D50",-1100,-600,51.37986674,-1.00995654
545951,"BERK-4AE470",-1500,-800,51.571726,-1.481956
545351,"SUR-0FB443",-900,-700,51.04918,-1.288079
544871,"LIN-CE5674",-1500,-700,53.298714,-0.516003
544699,"WMID-BA89E6",-2150,1500,52.409057,-0.54604
544511,"WMID-A48FC7",-2350,-2050,52.75054366,-1.8681028
544428,"SUR-92C393",-2000,-700,51.571726,-1.481956
544283,"NMS-8D66F7",-1100,-800,52.556134,1.140636
544083,"SWYOR-50DD37",-2500,-1500,54.043186,-1.344834
543966,"HAMP-3DBE53",-1500,-1050,50.97618978,-1.13251423
543911,"HAMP-3CDA23",-900,-750,50.97618978,-1.13251423
543245,"NCL-107462",-1500,-1150,55.167828,-1.656188
542864,"NMS-F9F2A7",-1600,-1001,52.872703,1.401288
542853,"YORYM-F9C7A6",-2000,-1800,53.95077,-0.980578
542707,"SUR-D441E7",-1150,-600,51.338742,1.257708
542696,"SUR-D3C182",-1000,-600,51.176506,-1.586531
542382,"CORN-AF85E4",-2500,-1500,50.060471,-5.592182
542381,"CORN-AF2F47",-2100,-700,50.060471,-5.592182
541900,"SWYOR-7C54E2",-1100,-800,53.953058,-1.300532
541855,"NMS-7B3065",-1600,-1001,52.882524,1.372323
541682,"SUR-6A34E2",-2000,-1700,51.180912,-0.170085
541514,"SUR-538DB1",-1150,-600,51.02947,-1.045959
541498,"SUR-43E3A2",-1150,-600,51.51778,-1.482568
541492,"SUR-435CC1",-1150,-800,50.887417,-1.304764
541239,"NMS-166B84",-1800,-1500,52.708729,1.151591
541069,"CORN-131C45",-1150,-700,50.075799,-5.677208
540328,"NMS-D753E1",-1000,-701,52.545977,1.184167
540051,"NMS-ACEA64",-1000,-701,52.567043,1.067622
540017,"NMS-A7A8B7",-1000,-701,52.524783,0.961464
539812,"NMS-914725",-2350,-1501,52.699677,0.795662
539607,"LEIC-807154",-1500,800,52.818132,-0.977597
539586,"NMS-7FFB82",-2350,-1500,52.631398,1.013003
538804,"PUBLIC-3FEA72",-1150,-800,50.82823717,-0.69509167
538647,"NMS-025B42",-1000,-800,52.661065,0.512204
538621,"HAMP-0171D2",-1500,400,51.083757,-1.087674
538475,"YORYM-EE39D1",-1500,-1150,54.004688,-0.979261
538292,"SWYOR-D8EF16",-2150,-1500,54.018992,-0.612595
538271,"CPAT-D84B66",,,52.229626,-3.421645
537861,"NMS-AEC678",-1400,-1100,52.944057,1.094245
537337,"YORYM-4525A3",-1150,-800,53.871555,-0.328488
537247,"SUR-2B9811",-900,-700,51.754788,-0.726514
537159,"DUR-157B50",,,54.520289,-1.507159
536745,"BERK-45FD21",,,51.77687531,-1.18972355
536577,"SUR-31B0D4",-1000,-700,51.361514,-0.967263
536520,"SUR-2FE4D6",-1000,-700,51.43118,-0.735531
536448,"NCL-1F12D2",-1100,-700,55.069107,-1.704012
536077,"YORYM-0448D5",-2500,-1500,54.080413,-0.488258
536071,"NMS-03E2E7",1000,700,52.42341,1.057634
535970,"NMS-F2BA41",-1500,-1000,52.357083,1.185249
535585,"NMS-9FBF48",1000,700,52.612463,1.381065
535308,"NMS-8AE941",-2350,1500,52.571134,0.905549
535022,"SUR-763CD5",-2000,-700,51.312092,-1.929649
534905,"NMS-742D25",-2350,1500,52.571134,0.905549
534895,"NMS-73FE82",-1600,-1000,52.571134,0.905549
534595,"NMS-5DD495",-1000,-800,52.766806,0.992697
534413,"NMS-1F5E55",-1500,-1000,52.524042,0.990902
533896,"SUR-F578A6",-1500,-1150,51.092636,-1.07322
533884,"NMS-F540B7",-1700,-1000,52.571134,0.905549
533337,"SUR-CCE7E0",-1000,-700,51.317462,-0.27946
532899,"BERK-76D140",-1200,-800,52.028388,-1.156036
532896,"NMS-76C268",-2350,-1500,52.873398,1.044622
532871,"NMS-7657F3",-1000,-700,52.615846,0.524387
532607,"NMS-62E341",-1000,-700,52.703729,0.618277
532438,"SUSS-602052",-1150,-800,50.79078,-0.568444
531994,"NLM-39B773",-1500,-1150,53.641435,-0.609888
531344,"SUR-E2D0C3",-1000,-800,51.569472,-1.106844
531342,"SUR-E2B937",-1000,-800,51.56059,-1.121444
531140,"NMS-CE2595",-1000,-700,52.62676,1.190032
530803,"SWYOR-A54EF8",-1400,-1300,53.260558,-1.236923
530777,"WMID-A44DC1",-2250,-1900,53.056179,-1.867173
530761,"WMID-A3EDA5",-1250,-800,52.801635,-2.832069
530760,"LIN-A3DB57",-1100,-800,53.229408,-0.743117
530709,"DUR-A24C08",-2400,-2000,54.114957,-0.379907
530671,"BH-A13FD5",-1150,-800,51.91468654,0.04862193
530669,"BERK-A129C5",-1150,-700,51.625796,-1.510233
530352,"NMS-600D35",-1600,-1000,52.483144,1.179624
530125,"NMS-3C3E52",-2350,43,52.544199,0.903769
530119,"NMS-3C1297",-2350,-700,52.68031,0.853609
530065,"LANCUM-3ABD21",-2900,-1150,52.677215,-2.593052
529607,"NMS-21E844",-1000,-700,52.612463,1.381065
529501,"SUSS-127C01",-1500,-1000,50.901624,-0.13839
529289,"NLM-0C6797",-1150,-800,53.55399,-0.839187
529107,"NLM-CFD864",-1500,-1150,53.650421,-0.609593
529105,"NLM-CFCA03",-2100,-1500,53.650421,-0.609593
529104,"NLM-CFBE55",-2100,-1500,53.650421,-0.609593
529103,"NLM-CFB5C6",-2100,-1500,53.650421,-0.609593
529098,"NLM-CF69A5",-2100,-1500,53.650421,-0.609593
529097,"NLM-CF5FC6",-2100,-1500,53.650421,-0.609593
529096,"NLM-CF5520",-2100,-1500,53.650421,-0.609593
529093,"NLM-CF4AB6",-2100,-1500,53.650421,-0.609593
529092,"NLM-CF4022",-2100,-800,53.650421,-0.609593
529091,"NLM-CF3005",-2100,-800,53.650421,-0.609593
528898,"NMS-BB7F04",-1600,-1000,52.801204,1.054411
528648,"DEV-A6FA73",-1000,-700,50.506324,-3.834632
528480,"NMS-94E9A4",-1000,-800,52.621437,1.381757
528357,"SUR-90B400",-1300,-1100,51.189448,-0.141126
528286,"SUR-8E82E7",-1900,-1400,51.317462,-0.27946
527641,"NLM-299857",-2100,-1500,53.677201,-0.593571
527150,"NMS-0F5EF3",-1000,-700,52.767885,0.562826
526896,"BERK-E96204",-2150,-1500,51.89526,-1.449181
526817,"LEIC-C2BA12",,,52.746354,-0.994092
525857,"SUR-448ED1",-900,-700,51.162259,-0.127917
525532,"WAW-FF9418",-2500,-1500,52.040354,-2.103466
524698,"SWYOR-BDC301",-1500,-1150,53.503418,-1.262723
524150,"YORYM-680D58",-2500,-700,53.838391,-0.542582
524094,"YORYM-58D0A7",-1500,-700,53.829406,-0.542894
524071,"YORYM-581E13",-1150,410,53.84719,-0.527076
524025,"YORYM-565484",-1500,-1150,53.829406,-0.542894
524024,"NARC-565276",-1500,-700,52.410773,-0.693005
523878,"SUSS-429B96",-2500,-1500,51.095728,0.083624
523840,"SUSS-419004",-2500,-1500,51.0348,-0.033216
523119,"LON-D2AA52",-1150,-700,51.86318,0.39487
522921,"SUSS-B02677",-1150,-750,50.904628,-0.337392
522840,"WILT-AD8D05",-1400,-1100,51.500513,-1.684453
522811,"SWYOR-AC3336",-2500,-1500,53.404168,-1.204273
522610,"BERK-6CE1A6",-2500,-700,51.713741,-1.161903
522304,"SUR-30F173",-1100,-800,51.422115,0.414887
522266,"PUBLIC-2E7A94",-1500,-1150,51.138007,1.029081
522118,"SUR-1B64F5",-1300,-1100,51.31417,1.169849
521764,"BH-DE4383",-2000,43,51.913137,0.135793
521763,"BH-DE15D4",-1500,-800,51.913137,0.135793
521762,"BH-DDFA26",-1150,-800,52.019877,0.199175
521761,"BH-DDD171",-1150,-800,51.913137,0.135793
521334,"HAMP-AEBA60",-1200,-800,51.077137,-1.473221
521304,"HAMP-AE4623",-2350,-700,51.077137,-1.473221
521098,"SUR-998457",-1000,-700,51.456545,0.488681
520350,"SUR-0AA331",-1000,-800,52.022411,-1.957691
519794,"CORN-A03874",-2150,-1500,50.400091,-4.674856
519650,"LIN-8BA223",-2500,-1500,53.261461,0.157404
519156,"SUSS-5D9747",-2500,-1500,50.809442,-0.624648
518968,"WMID-495676",-950,-700,52.911467,-2.477286
518672,"GAT-09E9E4",,,53.05172209,-4.31394913
518017,"WAW-78EE57",-2300,-1500,52.166179,-1.855214
518015,"WAW-78DAF5",-2300,-1500,52.166179,-1.855214
517406,"LEIC-4AB781",-1150,-750,52.712171,-1.23172
