"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"34227","580","Crotal","","B.M. Catalogue 1883. 0218. 4, see catalogue, Purchased from the Rev. Earl of Mulgrave","Ireland, County Offaly, Dowris, Dowris Hoard, Found in a bag during the 1820s.","Doorosheath, Co. Offaly, Irlande","-7.841282099999944","53.1520072","","None","None","None","","","","","","","","","Copper Alloy","","Bronze Crotal: hollow cast spherival pendant enclosing a small metal lump to serve as a rattle; initially cast with side perforations to allow extraction of clay core and insertion of rattle; cast ring for suspension.","See B.M. Catalogue","Late Bronze Age (950 BC - 750 BC)","Denis Antoine","https://www.flickr.com/photos/115096994@N02/16802252612","https://farm8.staticflickr.com/7647/16802252612_79e9834bdd_m.jpg"
"34227","734","Crotal","","B. M.  Catalogue   1883.0218.4, ,   ->  se catalogue, ,              Purchased from Rev. Earl of Mulgrave","Ireland, County Offaly, Davris, Davris Hoard, Found in a bog during the 1820s.","",,,"","None","None","1820","","","","","","","","Date is actually given as ""during the 1820s."", , , , Detailed, much shaded illustration giving 2 views of Crotal.","Copper Alloy","Davris Hoard","Bronze Crotal:  hollow cast spherical pendant enclosing a small metal lump to serve as a rattle;, , hidrably [?] cast with side perforations to allow extraction of clay core and insertion of rattle; cast ring for suspension., ,","See B.M. Catalogue","Late Bronze Age, , (950 BC - 750 BC)","Marilyn Kohn","https://www.flickr.com/photos/115096994@N02/16802252612","https://farm8.staticflickr.com/7647/16802252612_79e9834bdd_m.jpg"
"34228","433","Crotal","","British Museum Collection, 1854.0714.12,See catalogue,Purchased from T. L. Cooke","Ireland,County Offaly,Dowris,Dowris Hoard,Found in a bog during the 1820s.","Offaly, Co. Offaly, Ireland","-7.712222900000029","53.2356871","","None","None","1820","","","","","","","","","Copper Alloy","Dowris Hoard","Bronze Crotal: hollow cast spherical pendant, cast ring for suspension. Damage to one side.","See B.M. Catalogue","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/16183432263","https://farm9.staticflickr.com/8581/16183432263_7390f54d25_m.jpg"
"34228","580","Crotal","","B.M. Collection 1854. 0714. 12, see catalogue, Purchased from T.L. Cooke","Ireland, County Offaly, Dowris, Dowris Hoard, Found in a bag during the 1820s.","Doorosheath, Co. Offaly, Irlande","-7.841282099999944","53.1520072","","None","None","None","","","","","","","","","Copper Alloy","Dowris Hoard","Bronze Crotal: hollow cast spherival pendant, cast ring for suspension. Damage to one side.","See B.M. Catalogue","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/16183432263","https://farm9.staticflickr.com/8581/16183432263_7390f54d25_m.jpg"
"34228","734","Crotal","","B.M. Collection   1854.0714.12, ,   ->  see catalogue, ,            Purchased fromT. L.Cooke","Ireland, County Offaly, Davris, Davris Hoard, Found in a bog during the 1820s.","",,,"","None","None","1820","","","","","","","","Date given is actually ""during the 1820s."", , , , Detailed, much-shaded illustration, showing two views of Crotal.","Copper Alloy","Davris Hoard","Bronze Crotal:  hollow cast spherical pendant, cast ring for suspension.  Damage to one side.","See B.M.Catalogue","","Marilyn Kohn","https://www.flickr.com/photos/115096994@N02/16183432263","https://farm9.staticflickr.com/8581/16183432263_7390f54d25_m.jpg"
"34229","433","Crotal","","British Museum Collection, 1854.0714.11,See catalogue entry,Purchased from T. L. Cooke","Ireland,County Offaly,Dowris,Dowris Hoard,Found in a bog during the 1820s.","Offaly, Co. Offaly, Ireland","-7.712222900000029","53.2356871","","None","None","1820","","","","","","","","","Copper Alloy","Dowris Hoard","Bronze Crotal: hollow cast spherical pendant, cast ring for suspension. Damage to base.","See B.M. Catalogue","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/16183432483","https://farm8.staticflickr.com/7597/16183432483_abfe2dd8eb_m.jpg"
"34229","580","Crotal","","B.M. Collection 1854. 0714. 11, see catalogue entry, Purchased from T.L. Cooke","Ireland, County Offaly, Dowris, Dowris Hoard, Found in a bag during the 1820s.","Doorosheath, Co. Offaly, Irlande","-7.841282099999944","53.1520072","","None","None","None","","","","","","","","","Copper Alloy","Dowris Hoard","Bronze Crotal: hollow cast spherival pendant, cast ring for suspension. Damage to base.","See BM catalogue","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/16183432483","https://farm8.staticflickr.com/7597/16183432483_abfe2dd8eb_m.jpg"
"34229","896","Crotal","","B.M. Collection 1854 0714.11, , see catalogue entry, , Purchased T L. Cooke, ,","Dowris Hoard, Found in a bog during the 1820's, County Offaly,","Offaly, Co. Offaly, Ireland","-7.712222900000029","53.2356871","","None","None","1820","","","","","","","","","Copper Alloy","Dowris Hoard","Bronze Crotal: hollow cast spherical pendant, Cast ring for suspension. Damage to base.","See BM catalogue","","Deborah Jackson","https://www.flickr.com/photos/115096994@N02/16183432483","https://farm8.staticflickr.com/7597/16183432483_abfe2dd8eb_m.jpg"
"34230","433","Crotal","","British Museum Collection, 1854.0714.10,See Catalogue entry,Purchased from T. L. Cooke","Ireland,County Offaly,Dowris,Dowris Hoard,Found in a bog during the 1820s.","Offaly, Co. Offaly, Ireland","-7.712222900000029","53.2356871","","None","None","1820","","","","","","","","","Copper Alloy","Dowris Hoard","Bronze Crotal: Hollow cast spherical pendant, cast ring for suspension.","See B.M. Catalogue","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/16615774478","https://farm9.staticflickr.com/8590/16615774478_de68be8ef8_m.jpg"
"34230","580","Crotal","","B.M. Collection 1854. 0714. 10, see catalogue entry, Purchased from T.L. Cooke","Ireland, County Offaly, Dowris, Dowris Hoard, Found in a bag during the 1820s.","Doorosheath, Co. Offaly, Irlande","-7.841282099999944","53.1520072","","None","None","None","","","","","","","","","Coper Alloy","Dowris Hoard","Bronze Crotal: hollow cast spherical pendant, cast ring for suspension.","See BM catalogue","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/16615774478","https://farm9.staticflickr.com/8590/16615774478_de68be8ef8_m.jpg"
