"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"59185","677","Socketed Spearhead Frag.","","","Wangford Common, Suffolk","Suffolk, UK",,,"Suffolk, UK","None","None","None","","","","","","","","Some of the handwriting was difficult to decipher. I made my best possible judgement. The map is not working. Also some information appears to be missing.","","","Crushed socketed spearhead fragment.","","JW-Unidentified Cards from BA Index Drawer A20.","Michael George Adams","https://www.flickr.com/photos/115096994@N02/25071093685","https://farm2.staticflickr.com/1584/25071093685_d648830864_m.jpg"
"59185","817","Socketed Spearhead Frag.","","","WANGFORD COMMON,Suffolk","Wangford, Beccles, Suffolk NR34, UK","1.6239940000000388","52.355522","","None","None","None","","","","","","","","","","","Crushed socketed spearhead fragment","","JW-Unidentified Cards from BA Index Drawer A20","JP OConnor","https://www.flickr.com/photos/115096994@N02/25071093685","https://farm2.staticflickr.com/1584/25071093685_d648830864_m.jpg"
"59186","580","Socketed Axe Blade Frag.","","","Wangford Common,Suffolk","Wangford, Brandon, Suffolk IP27, Royaume-Uni","0.5744230000000243","52.427361","","None","None","None","","","","","","","","","","","Blade fragment.","","JW - Unidentified cards from BA index drawer A20.","Denis Antoine","https://www.flickr.com/photos/115096994@N02/24977778231","https://farm2.staticflickr.com/1604/24977778231_916355f4cb_m.jpg"
"59186","710","Socketed Axe Blade frag.","","","WANGFORD Common, Suffolk","",,,"","None","None","None","","","","","","","","","","","Blade fragment","","JW- Unidentified Cards from, BA Index Drawer A20","Kiyo","https://www.flickr.com/photos/115096994@N02/24977778231","https://farm2.staticflickr.com/1604/24977778231_916355f4cb_m.jpg"
"59186","817","Socketed Axe Blade Frag.","","","WANGFORD COMMON,Suffolk","Wangford, Beccles, Suffolk NR34, UK","1.6239940000000388","52.355522","","None","None","None","","","","","","","","","","","Blade fragment","","JW-Unidentified Cards from BA Index Drawer A20","JP OConnor","https://www.flickr.com/photos/115096994@N02/24977778231","https://farm2.staticflickr.com/1604/24977778231_916355f4cb_m.jpg"
"59187","226","Socketed Axe Blade Fragment","","","Wangford Common, Suffolk","Wangford Rd, Reydon, Southwold, Suffolk IP18 6PY, UK","1.6466888999999583","52.3457383","","None","None","None","","","","","","","","","","","Flattened blade fragment","","JW- Unidentified cards from BA Index Drawer A20","Elaine Dale","https://www.flickr.com/photos/115096994@N02/24977778061","https://farm2.staticflickr.com/1647/24977778061_2bce5d1828_m.jpg"
"59187","580","Socketed Axe Blade Frag.","","","Wangford Common,Suffolk","Wangford, Brandon, Suffolk IP27, Royaume-Uni","0.5744230000000243","52.427361","","None","None","None","","","","","","","","","","","Flattened blade fragment.","","JW - Unidentified cards from BA index drawer A20.","Denis Antoine","https://www.flickr.com/photos/115096994@N02/24977778061","https://farm2.staticflickr.com/1647/24977778061_2bce5d1828_m.jpg"
"59187","817","Socketed Axe Blade Frag.","","","WANGFORD COMMON,Suffolk","Wangford, Beccles, Suffolk NR34, UK","1.6239940000000388","52.355522","","None","None","None","","","","","","","","","","","Flattened blade fragment","","JW-Unidentified Cards from BA Index Drawer A20","JP OConnor","https://www.flickr.com/photos/115096994@N02/24977778061","https://farm2.staticflickr.com/1647/24977778061_2bce5d1828_m.jpg"
"59188","226","Socketed Axe Blade Frag.","","","Wangford Common, Suffolk","Wangford, Beccles, Suffolk NR34, UK","1.6239940000000388","52.355522","","None","None","None","","","","","","","","","","","Socketed Axe blade fragment","","JW - Unidentified Cards from BA Index Drawer A20","Elaine Dale","https://www.flickr.com/photos/115096994@N02/25071093265","https://farm2.staticflickr.com/1507/25071093265_cdfc78db2b_m.jpg"
"59188","580","Socketed Axe Blade Frag.","","","Wangford Common,Suffolk","Wangford, Brandon, Suffolk IP27, Royaume-Uni","0.5744230000000243","52.427361","","None","None","None","","","","","","","","","","","Socketed axe blade fragment.","","JW - Unidentified cards from BA index drawer A20.","Denis Antoine","https://www.flickr.com/photos/115096994@N02/25071093265","https://farm2.staticflickr.com/1507/25071093265_cdfc78db2b_m.jpg"
