"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"41422","652","Sickle","","British Museum, , 88 12 18 61","France ?, Loc de Bourget","Bourget-en-Huile, Γαλλία","6.206398000000036","45.484936","","None","None","None","","","","","","","","","copper alley","","","","","Maria Christakou","https://www.flickr.com/photos/115096994@N02/19358907001","https://farm1.staticflickr.com/452/19358907001_9b5b294973_m.jpg"
"41423","226","Sickle","","B.M. 1868.1228.291","Germany, Saxony, Weissing Hoard","Weißig am Raschütz, Germany","13.656361400000037","51.3469247","","None","None","None","","","","","","","","","Copper Alloy","","","","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/18734262403","https://farm1.staticflickr.com/467/18734262403_ed7ef4bdcc_m.jpg"
"41423","433","Sickle","","British Museum,1868.1228.291","Germany,Saxony,Weissig,Weissig Hoard","Weißig am Raschütz, Germany","13.656361400000037","51.3469247","","None","None","None","","","","","","","","","Copper Alloy","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18734262403","https://farm1.staticflickr.com/467/18734262403_ed7ef4bdcc_m.jpg"
"41423","652","Sickle","","BM 1868.1228.291","Germany Saxony, Weibig, Weissig Hoard","Weißig am Raschütz, Γερμανία","13.656361400000037","51.3469247","","None","None","None","","","","","","","","","copper alloy","","","","","Maria Christakou","https://www.flickr.com/photos/115096994@N02/18734262403","https://farm1.staticflickr.com/467/18734262403_ed7ef4bdcc_m.jpg"
"41424","226","Sickle","","British Museum, 1908.0801.137","Germany, Fridingen, N. Beuron","Fridingen, Germany","8.922462499999938","48.0198988","","None","None","None","","","","","","","","","Copper Alloy","","","Prah. B1 1899, 1 pl 1","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/19328789216","https://farm1.staticflickr.com/510/19328789216_fcc264439d_m.jpg"
"41424","433","Sickle","","British Museum,1908.0801.137","Germany,Fridingen,near Beuron","Fridingen, Germany","8.922462499999938","48.0198988","","None","None","None","","","","","","","","","Copper Alloy","","","Prat. B1, 1899, 1 pl. 1","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19328789216","https://farm1.staticflickr.com/510/19328789216_fcc264439d_m.jpg"
"41424","652","Sickle","","British Museum, , 1908.0801.137","Germany, Fridingen nr Beuron","Fridingen, Γερμανία","8.922462499999938","48.0198988","","None","None","None","","","","","","","","","Copper Alloy","","","[Prot B1 1899 1 pl 1]","","Maria Christakou","https://www.flickr.com/photos/115096994@N02/19328789216","https://farm1.staticflickr.com/510/19328789216_fcc264439d_m.jpg"
"41425","226","Sickle","","British Museum, 1868.1228.289","Germany, ? Prussia, nr. Eilenburg","Eilenburg, Germany","12.617702000000008","51.4597557","","None","None","None","","","","","","","","","Copper Alloy","","","","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/19167265890","https://farm1.staticflickr.com/452/19167265890_440980d0c1_m.jpg"
"41425","433","Sickle","","British Museum,1868.1228.289","Germany,Prussia,near Eilenburg","Eilenburg, Germany","12.617702000000008","51.4597557","","None","None","None","","","","","","","","","Copper Alloy","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19167265890","https://farm1.staticflickr.com/452/19167265890_440980d0c1_m.jpg"
"41425","652","Sickle","","British Museum, , 1868.1228.289","Germany, Prussia, nr Eilenburg","Eilenburg, Γερμανία","12.617702000000008","51.4597557","","None","None","None","","","","","","","","","copper alloy","","","","","Maria Christakou","https://www.flickr.com/photos/115096994@N02/19167265890","https://farm1.staticflickr.com/452/19167265890_440980d0c1_m.jpg"
"41426","226","Sickle","","British Museum, 1916.0605.173","Germany, Saxony, Camenz","Kamenz, Germany","14.10248809999996","51.2749068","","None","None","None","","","","","","","","","Copper Alloy","","","","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/19328789146","https://farm1.staticflickr.com/533/19328789146_c1e34e278d_m.jpg"
"41426","433","Sickle","","British Museum,1916.0605.173","Germany,Saxony,Camenz","Kamenz, Germany","14.10248809999996","51.2749068","","None","None","None","","","","","","","","","Copper Alloy","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19328789146","https://farm1.staticflickr.com/533/19328789146_c1e34e278d_m.jpg"
"41426","652","Sickle","","British Museum, , 1916.0605.173","Germany Saxony Camenz","Kamenz, Γερμανία","14.10248809999996","51.2749068","","None","None","None","","","","","","","","","copper alloy","","","","","Maria Christakou","https://www.flickr.com/photos/115096994@N02/19328789146","https://farm1.staticflickr.com/533/19328789146_c1e34e278d_m.jpg"
"41427","226","Sickle","","British Museum, 1916.0605.170","Germany, Saxony, Camenz","Kamenz, Germany","14.10248809999996","51.2749068","","None","None","None","","","","","","","","","Copper Alloy","Hoard","","","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/19354892575","https://farm1.staticflickr.com/308/19354892575_da6ce8bd30_m.jpg"
"41427","433","Sickle","","British Museum,1916.0605.170","Germany,Saxony,Camenz","Kamenz, Germany","14.10248809999996","51.2749068","","None","None","None","","","","","","","","","Copper Alloy","Hoard","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19354892575","https://farm1.staticflickr.com/308/19354892575_da6ce8bd30_m.jpg"
"41427","652","Sickle","","British Museum, , 1966.0605.170","Germany, Saxony, Canerz","Σάτσχεν, Γερμανία","13.201738400000067","51.1045407","","None","None","None","","","","","","","","","copper alloy","","","","","Maria Christakou","https://www.flickr.com/photos/115096994@N02/19354892575","https://farm1.staticflickr.com/308/19354892575_da6ce8bd30_m.jpg"
"41428","226","Sickle","","British Museum, 1908.0801.138","Germany, Fridirgen, nr. Beuron","Fridingen, Germany","8.922462499999938","48.0198988","","None","None","None","","","","","","","","","Copper Alloy","","","","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/19167265670","https://farm1.staticflickr.com/353/19167265670_538f44148e_m.jpg"
"41428","433","Sickle","","British Museum,1908.0801.138","Germany,Fridingen,near Beuron","Fridingen, Germany","8.922462499999938","48.0198988","","None","None","None","","","","","","","","","Copper Alloy","Hoard","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19167265670","https://farm1.staticflickr.com/353/19167265670_538f44148e_m.jpg"
"41428","652","Sickle","","British Museum 1980.0801.138","Germany, Fridingen, nr Benron","Fridingen, Γερμανία","8.922462499999938","48.0198988","","None","None","None","","","","","","","","","copper alloy","","","","","Maria Christakou","https://www.flickr.com/photos/115096994@N02/19167265670","https://farm1.staticflickr.com/353/19167265670_538f44148e_m.jpg"
"41429","226","Sickle","","British Museum, 1868.1228.292","Germany, Weissig, Weissig Hoard","Weißig am Raschütz, Germany","13.656361400000037","51.3469247","","None","None","None","","","","","","","","","Copper Alloy","","","","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/18732369044","https://farm1.staticflickr.com/293/18732369044_c8d883fb39_m.jpg"
"41429","433","Sickle","","British Museum,1868.1228.292","Germany,Weissig,Weissig Hoard","Weißig am Raschütz, Germany","13.656361400000037","51.3469247","","None","None","None","","","","","","","","","Copper Alloy","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18732369044","https://farm1.staticflickr.com/293/18732369044_c8d883fb39_m.jpg"
"41429","652","Sickle","","British Museum, , 1868.1228.292","Germany, Weissig Hord","Weißig am Raschütz, Γερμανία","13.656361400000037","51.3469247","","None","None","None","","","","","","","","","copper alloy","","","","","Maria Christakou","https://www.flickr.com/photos/115096994@N02/18732369044","https://farm1.staticflickr.com/293/18732369044_c8d883fb39_m.jpg"
"41430","226","Sickle","","British Museum, 1868.1228.293","Germany, Weissig, Weissig Hoard","Weißig am Raschütz, Germany","13.656361400000037","51.3469247","","None","None","None","","","","","","","","","Copper Alloy","","","","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/19348799022","https://farm1.staticflickr.com/551/19348799022_10c41142cb_m.jpg"
"41430","433","Sickle","","British Museum,1868.1228.293","Germany,Weissig,Weissig Hoard","Weißig am Raschütz, Germany","13.656361400000037","51.3469247","","None","None","None","","","","","","","","","Copper Alloy","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19348799022","https://farm1.staticflickr.com/551/19348799022_10c41142cb_m.jpg"
"41430","652","sickle","","British Museum, , 1868.1228.293","Germany Weissig Hoard","Weißig am Raschütz, Γερμανία","13.656361400000037","51.3469247","","None","None","None","","","","","","","","","copper alloy","","","","","Maria Christakou","https://www.flickr.com/photos/115096994@N02/19348799022","https://farm1.staticflickr.com/551/19348799022_10c41142cb_m.jpg"
"41431","226","Sickle","","British Museum, 1868.1228.290","Germany, nr. Bautzen (Lausitz)","Lausitz, Bad Liebenwerda, Germany","13.34824679999997","51.5135717","","None","None","None","","","","","","","","","Copper Alloy","","","","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/19167305288","https://farm1.staticflickr.com/482/19167305288_c56317f720_m.jpg"
"41431","433","Sickle","","British Museum,1868.1228.290","Germany,near Bautzen,(Lausitz)","Lausitz, Bad Liebenwerda, Germany","13.34824679999997","51.5135717","","None","None","None","","","","","","","","","Copper Alloy","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19167305288","https://farm1.staticflickr.com/482/19167305288_c56317f720_m.jpg"
"41431","652","Sickle","","British Museum, , 1868.1228.290","Germany Bautzen (La itz)","Μπάουτσεν, Γερμανία","14.423774900000012","51.18229299999999","","None","None","None","","","","","","","","","copper alloy","","","","","Maria Christakou","https://www.flickr.com/photos/115096994@N02/19167305288","https://farm1.staticflickr.com/482/19167305288_c56317f720_m.jpg"
"41432","226","Sickle","","British Museum, 1876.0706.7","Germany, Saxony, Camenz","Kamenz, Germany","14.10248809999996","51.2749068","","None","None","None","","","","","","","","","Copper Alloy","","","","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/19348798822","https://farm1.staticflickr.com/287/19348798822_b6fcc0fa91_m.jpg"
"41432","433","Sickle","","British Museum,1876.0706.7","Germany,Saxony,Camenz","Kamenz, Germany","14.10248809999996","51.2749068","","None","None","None","","","","","","","","","Copper Alloy","","","PSA, III (1866), 328-336","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19348798822","https://farm1.staticflickr.com/287/19348798822_b6fcc0fa91_m.jpg"
"41432","652","Sickle","","British Museum, , 1896.0706.7","Germany Saxony Camerz","Σάτσχεν, Γερμανία","13.201738400000067","51.1045407","","None","None","None","","","","","","","","","copper alloy","","","PSA III (1896) 328-336","","Maria Christakou","https://www.flickr.com/photos/115096994@N02/19348798822","https://farm1.staticflickr.com/287/19348798822_b6fcc0fa91_m.jpg"
"41433","226","Sickle","","British Museum, 1867.0705.16","Germany, Saxony, Camenz","Kamenz, Germany","14.10248809999996","51.2749068","","None","None","None","","","","","","","","","Copper Alloy","","","","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/19167305238","https://farm1.staticflickr.com/341/19167305238_55b396e0d7_m.jpg"
"41433","433","Sickle","","British Museum,1867.0705.16","Germany,Saxony,?Camenz","Kamenz, Germany","14.10248809999996","51.2749068","","None","None","None","","","","","","","","","Copper Alloy","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19167305238","https://farm1.staticflickr.com/341/19167305238_55b396e0d7_m.jpg"
"41433","652","Sickle","","British Museum, , 1867.0705.16","Germany Saxony ?Camenz","Kamenz, Γερμανία","14.10248809999996","51.2749068","","None","None","None","","","","","","","","","copper alloy","","","","","Maria Christakou","https://www.flickr.com/photos/115096994@N02/19167305238","https://farm1.staticflickr.com/341/19167305238_55b396e0d7_m.jpg"
"41434","226","Sickle","","British Museum, 1916.0605.172","Germany, Saxony, Camenz","Kamenz, Germany","14.10248809999996","51.2749068","","None","None","None","","","","","","","","","Copper Alloy","","","","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/19348798572","https://farm1.staticflickr.com/433/19348798572_293c74677f_m.jpg"
"41434","433","Sickle","","British Museum,1916.0605.172","Germany,Saxony,Camenz","Kamenz, Germany","14.10248809999996","51.2749068","","None","None","None","","","","","","","","","Copper Alloy","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19348798572","https://farm1.staticflickr.com/433/19348798572_293c74677f_m.jpg"
"41434","652","Sickle","","British Museum , , 1916.0605.172","Germany Saxony Camenz","Kamenz, Γερμανία","14.10248809999996","51.2749068","","None","None","None","","","","","","","","","copper alloy","","","","","Maria Christakou","https://www.flickr.com/photos/115096994@N02/19348798572","https://farm1.staticflickr.com/433/19348798572_293c74677f_m.jpg"
"41435","226","Sickle","","British Museum, 1916.0605.171","Germany, Saxony, Camenz","Kamenz, Germany","14.10248809999996","51.2749068","","None","None","None","","","","","","","","","Copper Alloy","","","","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/19168730689","https://farm4.staticflickr.com/3826/19168730689_4b38147aba_m.jpg"
