"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"40507","817","Bracelet","","Nationalmuseet,,Copenhagen.,No. A 11487.","Denmark,Tüne H.,Greve S.","2670 Greve Strand, Denmark","55.5985117","12.241407999999979","","None","None","None","62.5","39","","41","","","","Length shows ""Diameter 62.5mm."" Width shows ""Space between ends 39mm. near point 4.5mm, neat hilt 9.5mm.""","","","Badly corroded.","","Model Boar's Tusk?,Cf. B 3936 (armlet), but also Nos. B 9641 & B10209.","JP OConnor","https://www.flickr.com/photos/115096994@N02/17987387983","https://farm1.staticflickr.com/332/17987387983_3369a29307_m.jpg"
"40508","433","Bracelet","","Nationalmuseet, Copenhagen,No. B 9641","Denmark,Norvavg H.,G. Suede S.","Denmark","56.26392","9.50178500000004","","None","None","None","","","","229","","","","Site: Could not locate parish or district","","","Plain, solid + tapering.","","Compared to end of armlet B3936. ?model boar's tusk. Cf. Battlefield, Shropshire (L.F.Chitty)","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17987367243","https://farm1.staticflickr.com/506/17987367243_5c4b527e31_m.jpg"
"40508","658","Bracelet","","Nationalmuseet,,, , Copenhagen,, , No. B 9641","Denmark,Nörvavg H.,, E. Suede S.","",,,"","None","None","None","","","","229","","","","","","","Plain, solid & tapering.","","Compared to end of armlet B 3936,,, , ? Model boar's tusk. Cf. Battlefield, Shropshire., , (L.F. Chitty)","Susan Magyarody","https://www.flickr.com/photos/115096994@N02/17987367243","https://farm1.staticflickr.com/506/17987367243_5c4b527e31_m.jpg"
"40508","817","Bracelet","","Nationalmuseet,,Copenhagen.,No. B 9641.","denmark,Nörvavg H.,E. Suede S.","Denmark","56.26392","9.50178500000004","","None","None","None","","","","229","","","","","","","Plain, solid, & tapering.","","Compared to end of armlet B 3936.,? Model boar's head. Cf. Battlefield, Shropsire. (L.F. [...].)","JP OConnor","https://www.flickr.com/photos/115096994@N02/17987367243","https://farm1.staticflickr.com/506/17987367243_5c4b527e31_m.jpg"
"40509","433","Bracelet","","Nationalmuseet, Copenhagen,No. B 10209","Denmark?,Provenance unknown","Denmark","56.26392","9.50178500000004","","None","None","None","","","","1) 82; 2) 85","","","","","","","2 fragments: one illustrated. Plain and solid.","","Cf. Nos. A11487 + B9641,Suggested as ends of armlets like B3936,? model boar's tusk. Cf. Battlefield, Shropshire (L.F.C)","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18610138021","https://farm1.staticflickr.com/420/18610138021_a7d0d53960_m.jpg"
"40509","658","Bracelet","","Nnationalmuseet,,, , Copenhagen,, , No. B 10209","Denmark?,, Provenance unknown.","",,,"","None","None","None","","","","1) 82; 2) 85","","","","","","","2 fragments: one illustrated. Plain & solid.","","Suggested no ends of armlets like B 3936, but Cf. Nos. A 11487 & B 9641,?model boar's tusk. Cf. Battlefield, Shripshire. (L.P.C.)","Susan Magyarody","https://www.flickr.com/photos/115096994@N02/18610138021","https://farm1.staticflickr.com/420/18610138021_a7d0d53960_m.jpg"
"40509","817","Bracelet","","Nationalmuseet,,Copenhagen.,No. B 10209.","Denmark ?,Provenance unknown.","Denmark","56.26392","9.50178500000004","","None","None","None","","","","","","","","Weight shows ""(1) 82gr.  (2) 85gr.""","","","2 fragments: one illustrated. Plain & solid","","Suggested as ends of armlets like B. 3936, but.,Cf Nos. A 11487 & B 9641.,? model boar's tusk. Cf. Battlefield, Shropshire (L.P.C.)","JP OConnor","https://www.flickr.com/photos/115096994@N02/18610138021","https://farm1.staticflickr.com/420/18610138021_a7d0d53960_m.jpg"
"40510","433","Armlet","","Nationalmuseet, Copenhagen,No. B 3936","Denmark,Jutland,Salling,Rodding H.,Ramsing S.","7860 Ramsing, Denmark","56.59673","8.841128000000026","","None","None","None","","","","712","","Pale dull bronze colour.","","","Bronze","","Armlet of twisted bronze. Circular in section + solid. Beautifully engraved + perfect preservation.","Illustrated by Sophus Muller, ""Oldtidens Kunst Bronzegealderen"", p. 3, Fig. 14","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18420217868","https://farm1.staticflickr.com/485/18420217868_0286384a88_m.jpg"
"40510","658","Armlet","","Nationalmuseet,,, , Copenhagen,, , No. B 3936","Denmark,, Jutland,, Salling[;[], Rödding H.,, Ranesing S.","",,,"","None","None","None","","","","712","","pale dull bronze colour.","","No drawing attached.","Bronze","","Armlet of twisted bronze. Circular in section & solid.,Beautifully engraved & perfect preservation.","Illustrated by Sophus Muller, 'Oldtidens Kunst Brongealderen', p. 3, Fig. 14.","","Susan Magyarody","https://www.flickr.com/photos/115096994@N02/18420217868","https://farm1.staticflickr.com/485/18420217868_0286384a88_m.jpg"
"40510","817","Armlet","","Nationalmuseet,,Copenhagen.,No. B 3936.","Denmark,Jutland,Sallind,Rödding H.,Ramsing S.","7860 Ramsing, Denmark","56.59673","8.841128000000026","","None","None","None","","","","712","","pale dull bronze colour.","","","Bronze","","Armlet of twisted bronze. Circular in section & solid. Beautifully engraved & perfect preservation.","Illustrated by Sophus Muller, ‘Oldtidens Kunst Bronzealderen,’ p. 3, Fig. 14.","","JP OConnor","https://www.flickr.com/photos/115096994@N02/18420217868","https://farm1.staticflickr.com/485/18420217868_0286384a88_m.jpg"
