"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"40169","433","Knife","","Pitt Rivers Museum, Farnham","Greece,Aegean,Rhodes,Label: Bronze knife from Rhodes","Rhodes, Greece","28.21748290000005","36.4349631","","None","None","None","205","blade 36, 37; tang 19","","170.1","Green with dark patches","Rough","7","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18343965761","https://farm8.staticflickr.com/7788/18343965761_651dcf35cb_m.jpg"
"40169","658","Knife","","Pitt Rivers Museum,Farnham.","See Greece,, Aegean,, Rhodes,, Label: bronze knife,from Rhodes.,","",,,"","None","None","None","205","blade 36, 37; tang 19","","170.1","green with dark patches.","rough","7","","","","","","","Susan Magyarody","https://www.flickr.com/photos/115096994@N02/18343965761","https://farm8.staticflickr.com/7788/18343965761_651dcf35cb_m.jpg"
"40169","817","Knife","","Pitt Rivers Museum,Farnham.","Greece,Ægean,Rhodes","Rhodes, Greece","28.21748290000005","36.4349631","","None","None","None","205","36","","170.1","green with dark patches.","rough","7","Width shows ""blade 36  37  tang 19"".","","","","","Label bronze knife from Rhodes.","JP OConnor","https://www.flickr.com/photos/115096994@N02/18343965761","https://farm8.staticflickr.com/7788/18343965761_651dcf35cb_m.jpg"
"40170","433","Shield","","Private Collection,Lord Howard de Walden,1923,Belgrave Square, SW","Greece (purchased in),[Italian body armour (breastplate)]","Greece","21.824311999999964","39.074208","","None","None","None","","226 x 225","","311.85","Polished patina mottled lightish green.","Smooth. A good deal of light soil adheres on under side.","Thickness of metal up to 2mm","","","","In the centre is a small pin hole. The spaces A, B, + C are filled with the same decoration as the other two spaces. Well preserved. The decoration is mostly incised + covers the surface.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18342513705","https://farm8.staticflickr.com/7760/18342513705_e55f75045b_m.jpg"
"40170","658","Shield","","Private Collection,1923, , Lord Howard de Walden,, , Belgrave Square, SW","Greece (purchased in),, (Italian body armour (breastplate))","",,,"","None","None","None","","226 X 225","","311.85","polished patina, mottled lightish green.","smooth. A good deal of light soil adheres on underside.","Thickness of metal: up to 2 mm","","","","In the centre is a small pin hole. The spaces A, B & C are filled with the same decoration,as the other two spaces.,Well preserved. The decoration is mostly incised & covers the surface.","","","Susan Magyarody","https://www.flickr.com/photos/115096994@N02/18342513705","https://farm8.staticflickr.com/7760/18342513705_e55f75045b_m.jpg"
"40170","817","Shield","","Private,1923,Lord Howard de Walden.,Belgrave Square, SW.","Greece. (purchased in)","","28.21748290000005","36.4349631","","None","None","None","","226","","311.85","polished patina mottled lightish green","Smooth.","2","Width shows ""226 x 225"". Thickness shows ""of metal.}up to 2mm"".","","","[Italian body armour (breastplate)],In the centre is a small pin hole.,The spaces A, B & C are filled with the same decoration as the other two spaces.,Well preserved.,The decoration is mostly incised, & covers the surface.","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/18342513705","https://farm8.staticflickr.com/7760/18342513705_e55f75045b_m.jpg"
"40171","433","Flat Celt","","Herts. Cty. Mus., St. Albans,Ball Collection","Hungary","Hungary","19.50330400000007","47.162494","","None","None","None","75.5","middle 31, butt edge 24","28","63.78","No patina","Very pocked - bright brass like bronze","7","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18154658228","https://farm1.staticflickr.com/359/18154658228_a02d79b3c0_m.jpg"
"40171","658","Fllat Celt","","Herts. Cty. Mus., St. Albans,, , Ball Coll'n.","Hungary","",,,"","None","None","None","75.5","edge 28, middle 31, butt edge 24","","63.78","","very pocked - bright brass-like bronze.","7","","","","","","","Susan Magyarody","https://www.flickr.com/photos/115096994@N02/18154658228","https://farm1.staticflickr.com/359/18154658228_a02d79b3c0_m.jpg"
"40171","817","Flat Celt.","","Herts Cty. Mus.,St. Albans.,Ball Colln.","Hungary","Hungary","19.50330400000007","47.162494","","None","None","None","75.5","31","28","63.78","","very pocked -- bright brass like bronze","7","Width shows ""edge 28, middle 31, butt edge 24"".","","","","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/18154658228","https://farm1.staticflickr.com/359/18154658228_a02d79b3c0_m.jpg"
"40172","433","Pins","","Royal Scottish Museum, Edinburgh,Reg. Nos 1903, 13d, f, g, h, i, k","Hungary,Pancsova","Pancevo, Serbia","20.64756729999999","44.874","","None","None","None","i: 116; f: 120; h: 132; d: 147; g: 168; k: 169","","","d: 19; f: 15; g: 12; h: 8; i: 7; k: 14","d, g, i: light green patina; f, h, k: original bronze colour","","","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18154658068","https://farm9.staticflickr.com/8861/18154658068_4c4c9f556e_m.jpg"
"40172","658","Pins","","Royal Scottish Museum,Edinburgh,, , Reg. Nos. 1903.13Y d, f, g, h, i, k.","Hungary,, Pancsova","",,,"","None","None","None","See over (note in pencil)","","","d = 19; f = 15; g = 12; h = 8; i = 7; k = 14","d, g, i = light green patina; f, h, k = original bronze colour.","","","","","","","","","Susan Magyarody","https://www.flickr.com/photos/115096994@N02/18154658068","https://farm9.staticflickr.com/8861/18154658068_4c4c9f556e_m.jpg"
"40172","817","Pins","","Royal Scottish Museum,Edinburgh,Reg. Nos. 1903.137d, f, g, h, i, k.","Hungary,Pancsova","Hungary","19.50330400000007","47.162494","","None","None","None","","","","","g, g, i = light green patina.,f, h, k = original bronze colour","","","Length field shows ""See over"". Weight shows ""d = 19gr,f = 15gr,g = 12gr,h = 8gr,i = 7gr,k = 14gr"".","","","","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/18154658068","https://farm9.staticflickr.com/8861/18154658068_4c4c9f556e_m.jpg"
"40173","433","Pins","","Royal Scottish Museum, Edinburgh,Reg. Nos. 1903 137 a, b, c, e, j, l","Hungary,Pancsova","Pancevo, Serbia","20.64756729999999","44.874","","None","None","None","a: 127; b: 89; c: 211; j: 198; e: 231; l: 99","","","a: 5; b: 3 1/2; c: 14; e: 17; j: 13; l: 2","b, l, j: light green patina; a, c, e = original bronze colour","","","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17721844383","https://farm9.staticflickr.com/8804/17721844383_d1fe5e32f8_m.jpg"
